iter	Passed	Remaining
0	2	3414
1	4	3047
2	5	2874
3	7	2957
4	9	2904
5	11	2784
6	13	2773
7	15	2814
8	17	2831
9	19	2865
10	21	2862
11	22	2843
12	24	2845
13	26	2843
14	28	2832
15	30	2835
16	32	2844
17	34	2834
18	36	2847
19	38	2857
20	40	2851
21	42	2861
22	44	2857
23	46	2846
24	48	2854
25	50	2850
26	52	2851
27	54	2862
28	56	2870
29	58	2875
30	60	2887
31	62	2886
32	65	2905
33	67	2911
34	69	2925
35	72	2932
36	74	2934
37	76	2931
38	78	2945
39	80	2953
40	83	2957
41	84	2950
42	86	2945
43	89	2950
44	91	2952
45	93	2950
46	95	2950
47	97	2947
48	99	2953
49	101	2954
50	103	2947
51	105	2947
52	108	2955
53	110	2962
54	112	2967
55	114	2963
56	117	2980
57	119	2979
58	121	2978
59	124	2980
60	126	2974
61	128	2971
62	131	3004
63	134	3027
64	137	3036
65	140	3045
66	142	3040
67	144	3035
68	146	3035
69	148	3031
70	150	3033
71	153	3041
72	155	3040
73	157	3042
74	159	3036
75	161	3030
76	163	3028
77	166	3026
78	168	3029
79	170	3030
80	172	3026
81	175	3027
82	177	3022
83	179	3021
84	181	3022
85	184	3035
86	187	3037
87	189	3046
88	192	3050
89	194	3045
90	196	3041
91	198	3037
92	200	3032
93	202	3033
94	205	3035
95	207	3030
96	209	3030
97	211	3025
98	213	3023
99	215	3020
100	217	3019
101	220	3018
102	222	3016
103	224	3013
104	227	3019
105	229	3015
106	231	3015
107	233	3013
108	235	3008
109	238	3014
110	240	3012
111	242	3011
112	245	3008
113	247	3004
114	249	3003
115	251	2997
116	253	2992
117	255	2991
118	257	2989
119	261	3004
120	263	3002
121	265	2999
122	267	2995
123	269	2991
124	271	2990
125	274	2989
126	276	2987
127	279	2990
128	281	2990
129	283	2989
130	285	2984
131	287	2980
132	289	2979
133	292	2977
134	294	2977
135	296	2976
136	298	2974
137	301	2972
138	303	2967
139	304	2962
140	307	2959
141	309	2957
142	311	2954
143	313	2954
144	315	2950
145	318	2949
146	320	2945
147	321	2940
148	324	2938
149	326	2936
150	328	2933
151	330	2931
152	332	2927
153	335	2928
154	337	2924
155	338	2919
156	341	2918
157	343	2913
158	344	2908
159	347	2907
160	349	2905
161	351	2904
162	354	2903
163	356	2901
164	358	2899
165	360	2895
166	362	2890
167	364	2889
168	367	2892
169	369	2892
170	371	2890
171	374	2888
172	376	2885
173	378	2881
174	380	2877
175	382	2875
176	384	2874
177	389	2893
178	392	2893
179	394	2890
180	396	2886
181	398	2883
182	401	2889
183	403	2887
184	405	2884
185	408	2882
186	410	2880
187	412	2877
188	414	2872
189	416	2873
190	418	2870
191	421	2868
192	423	2866
193	425	2863
194	427	2862
195	429	2858
196	431	2857
197	434	2858
198	436	2855
199	439	2856
200	441	2853
201	443	2851
202	445	2846
203	447	2842
204	449	2839
205	451	2837
206	453	2835
207	456	2837
208	458	2834
209	461	2832
210	463	2828
211	464	2824
212	467	2822
213	469	2819
214	471	2816
215	473	2815
216	475	2811
217	477	2808
218	479	2804
219	481	2800
220	483	2797
221	486	2801
222	488	2798
223	490	2796
224	492	2792
225	494	2789
226	496	2785
227	498	2782
228	500	2779
229	502	2777
230	504	2773
231	506	2770
232	508	2767
233	510	2763
234	513	2761
235	515	2758
236	516	2754
237	519	2752
238	520	2748
239	522	2745
240	525	2744
241	527	2741
242	529	2738
243	531	2735
